collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:11:26,case_91,,,,,,
task,Visitor,Prepare personal information,Visitor,2021-06-16 11:11:28,case_91,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:11:32,case_91,info_90,send,Zoo,info,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:11:33,case_91,info_90,receive,,info,Visitor,start
task,Visitor,Wait for card,Visitor,2021-06-16 11:11:41,case_91,,,,,,
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:11:44,case_91,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:11:49,case_91,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:11:53,case_91,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:11:54,case_91,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:12:00,case_91,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:12:01,case_91,request_88,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:12:09,case_91,request_88,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 11:12:12,case_91,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:12:15,case_91,account_89,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:12:21,case_91,account_89,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:12:24,case_91,card_91,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:12:32,case_91,card_91,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:12:34,case_91,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:24:40,case_135,,,,,,
task,Visitor,Prepare personal information,Visitor,2021-06-16 11:24:42,case_135,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:24:45,case_135,info_134,send,Zoo,info,,
task,Visitor,Wait for card,Visitor,2021-06-16 11:24:49,case_135,,,,,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:24:51,case_135,info_134,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:24:55,case_135,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:25:02,case_135,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:25:06,case_135,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:25:24,case_135,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:25:28,case_135,request_132,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:25:36,case_135,request_132,receive,,request,Zoo,start
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:25:37,case_135,,,,,,
task,Bank,Process payment information,Bank,2021-06-16 11:25:42,case_135,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:25:52,case_135,account_133,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:25:57,case_135,account_133,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:26:02,case_135,card_135,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:26:09,case_135,card_135,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:26:13,case_135,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:27:22,case_143,,,,,,
task,Visitor,Prepare family's information,Visitor,2021-06-16 11:27:27,case_143,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:27:32,case_143,info_142,send,Zoo,info,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:27:32,case_143,info_142,receive,,info,Visitor,start
task,Visitor,Wait for card,Visitor,2021-06-16 11:27:39,case_143,,,,,,
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:27:44,case_143,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:27:52,case_143,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:27:55,case_143,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:28:08,case_143,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:28:12,case_143,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:28:16,case_143,request_140,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:28:16,case_143,request_140,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 11:28:23,case_143,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:28:25,case_143,account_141,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:28:26,case_143,account_141,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:28:33,case_143,card_143,send,Visitor,card,,
