collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant
task,PartyA,Activity A,PartyA,2021-06-23 06:00:05,case_188,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:00:08,case_188,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:00:08,case_188,m2_124,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:00:14,case_188,m2_124,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:00:15,case_188,m1_125,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:00:23,case_188,m1_125,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:00:23,case_188,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:00:24,case_188,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:02:22,case_200,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:02:27,case_200,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:02:29,case_200,m1_132,send,PartyA,m1,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:02:33,case_200,m2_133,send,PartyA,m2,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:02:41,case_200,m1_132,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:02:43,case_200,m2_133,receive,,m2,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:02:49,case_200,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:02:49,case_200,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:06:11,case_221,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:06:13,case_221,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:06:18,case_221,m2_146,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:06:20,case_221,m2_146,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:06:23,case_221,m1_147,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:06:31,case_221,m1_147,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:06:36,case_221,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:06:40,case_221,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:35:47,case_62,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:35:48,case_62,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:35:48,case_62,m1_40,send,PartyA,m1,
